問,答え
"「メンバーの問題発見」の項目に関して
チェックすべき5つの項目は？",受注金額、お客様に対する姿勢、接客時間、成約率、販買商品
"「A君を殺すな」の項目に関して
B君にはどのような働きがけが必要か記載してください",自分が働くべきだと気づかせる
"「A君を殺すな」の項目に関して
C君にはどのような働きがけが必要か記載してください",細かく指示・命令を出してチェックする
"「A君を殺すな」の項目に関して
D君にはどのような働きかけが必要か記載してください",質問をして状況に気づかせる
"「2CM」の項目に関して
(　　①　　)に当てはまる内容を記載してください

マネジャーは2つのCと1つのMの状態を確認する義務がある。
1つ目のCは(　　　①　　　)で、業務を進めていく上で行われる情報伝達のためのコミュニケーションです。
2つ目のCは(　　　②　　　)で、出勤時に従業員同士が交わす挨拶やプライベートな事を話しあったりすることが該当します。

これら2つのCに加えて従業員一人ひとりの(　　③　　)が高く維持されているかを見ることが重要です。",業務推進ｺﾐｭﾆｹｰｼｮﾝ
"「2CM」の項目に関して
(　　②　　)に当てはまる内容を記載してください

マネジャーは2つのCと1つのMの状態を確認する義務がある。
1つ目のCは(　　　①　　　)で、業務を進めていく上で行われる情報伝達のためのコミュニケーションです。
2つ目のCは(　　　②　　　)で、出勤時に従業員同士が交わす挨拶やプライベートな事を話しあったりすることが該当します。

これら2つのCに加えて従業員一人ひとりの(　　③　　)が高く維持されているかを見ることが重要です。",人間関係構築ｺﾐｭﾆｹｰｼｮﾝ
"「2CM」の項目に関して
(　　③　　)に当てはまる内容を記載してください

マネジャーは2つのCと1つのMの状態を確認する義務がある。
1つ目のCは(　　　①　　　)で、業務を進めていく上で行われる情報伝達のためのコミュニケーションです。
2つ目のCは(　　　②　　　)で、出勤時に従業員同士が交わす挨拶やプライベートな事を話しあったりすることが該当します。

これら2つのCに加えて従業員一人ひとりの(　　③　　)が高く維持されているかを見ることが重要です。",ﾓﾁﾍﾞｰｼｮﾝ
"「店長・リーダーの目利き」に関して
下記の(　　①　　)に当てはまる内容を記載してください

① （　　①　　）として活動しているか
② 感じの良い接客ができるか
③ （　　②　　）を示しているか
④ 観察ができるか
⑤ 質問ができるか
⑥ 周囲の人の（　　③　　）を聞く事ができるか
⑦ 正しい事を見つけられるか
⑧ 良いプロセスを作る事ができるか
⑨ （　　④　　）があるか
⑩ 周囲の人に（　　⑤　　）されているか",ｴﾊﾞﾝｼﾞｪﾘｽﾄ
"「店長・リーダーの目利き」に関して
下記の(　　②　　)に当てはまる内容を記載してください

① （　　①　　）として活動しているか
② 感じの良い接客ができるか
③ （　　②　　）を示しているか
④ 観察ができるか
⑤ 質問ができるか
⑥ 周囲の人の（　　③　　）を聞く事ができるか
⑦ 正しい事を見つけられるか
⑧ 良いプロセスを作る事ができるか
⑨ （　　④　　）があるか
⑩ 周囲の人に（　　⑤　　）されているか",手本
"「店長・リーダーの目利き」に関して
下記の(　　③　　)に当てはまる内容を記載してください

① （　　①　　）として活動しているか
② 感じの良い接客ができるか
③ （　　②　　）を示しているか
④ 観察ができるか
⑤ 質問ができるか
⑥ 周囲の人の（　　③　　）を聞く事ができるか
⑦ 正しい事を見つけられるか
⑧ 良いプロセスを作る事ができるか
⑨ （　　④　　）があるか
⑩ 周囲の人に（　　⑤　　）されているか",本音
